bootstrap_draw,total_event_copies,captured__primary_31_60__multi_horizon,captured__primary_31_60__direct_60_day,capture_rate_difference__primary_31_60,captured__secondary_1_60__multi_horizon,captured__secondary_1_60__direct_60_day,capture_rate_difference__secondary_1_60
4378,738,267,183,0.11382113821138215,490,285,0.27777777777777773
4379,685,274,230,0.06423357664233581,435,304,0.19124087591240874
4380,703,261,224,0.05263157894736842,436,309,0.18065433854907542
4381,718,300,250,0.06963788300835655,473,342,0.18245125348189417
4382,692,259,208,0.07369942196531792,410,283,0.1835260115606936
4383,671,248,179,0.10283159463487335,454,266,0.28017883755588674
4384,703,295,242,0.07539118065433859,463,327,0.19345661450924612
4385,622,237,192,0.07234726688102894,395,272,0.19774919614147907
4386,697,278,214,0.09182209469153518,449,298,0.21664275466284072
4387,714,268,200,0.09523809523809523,441,268,0.24229691876750703
4388,681,252,200,0.07635829662261379,437,284,0.22466960352422904
4389,726,262,214,0.06611570247933884,453,293,0.22038567493112948
4390,659,251,197,0.08194233687405161,404,276,0.19423368740515934
4391,770,296,212,0.10909090909090913,498,313,0.24025974025974023
4392,638,241,187,0.08463949843260188,379,250,0.20219435736677122
4393,640,252,207,0.0703125,414,320,0.14687499999999998
4394,631,239,191,0.07606973058637084,389,281,0.1711568938193344
4395,705,291,226,0.09219858156028365,478,325,0.21702127659574466
4396,742,285,241,0.05929919137466305,447,328,0.16037735849056606
4397,762,304,224,0.10498687664041995,488,313,0.2296587926509187
4398,657,236,172,0.0974124809741248,407,240,0.25418569254185697
4399,678,283,228,0.08112094395280234,458,300,0.23303834808259583
4400,622,237,200,0.05948553054662381,382,295,0.13987138263665594
4401,696,277,209,0.0977011494252874,452,287,0.23706896551724144
4402,685,261,240,0.03065693430656935,411,307,0.15182481751824817
4403,685,256,197,0.08613138686131383,439,285,0.22481751824817514
4404,719,255,191,0.08901251738525728,436,278,0.21974965229485394
4405,677,241,179,0.09158050221565728,395,265,0.19202363367799108
4406,710,284,208,0.10704225352112678,486,293,0.27183098591549293
4407,616,230,178,0.08441558441558439,359,260,0.1607142857142857
4408,699,248,205,0.06151645207439199,436,272,0.234620886981402
4409,750,260,192,0.09066666666666667,487,278,0.2786666666666667
4410,669,249,185,0.09566517189835577,415,263,0.2272047832585949
4411,706,262,176,0.1218130311614731,444,267,0.2507082152974504
4412,691,276,195,0.11722141823444288,462,284,0.2575976845151953
4413,716,255,177,0.10893854748603352,447,265,0.2541899441340782
4414,723,277,223,0.07468879668049794,442,296,0.2019363762102352
4415,758,297,212,0.11213720316622688,472,294,0.2348284960422164
4416,671,266,209,0.08494783904619968,430,310,0.17883755588673622
4417,808,300,271,0.03589108910891087,545,362,0.22648514851485152
4418,664,261,202,0.08885542168674698,430,261,0.25451807228915657
